"last_name, first_name","player_id","year","ab","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba"
"Profar, Jurickson","595777","2024","375","18",14.4,11.5,".301",".491",".392","0.883",".383"
"Lowe, Josh","666139","2024","170","5",31.9,7.6,".212",".353",".270","0.623",".272"
"Calhoun, Willie","641432","2024","205","4",13.8,8,".254",".385",".316","0.701",".307"
"Lux, Gavin","666158","2024","286","6",21.3,7.4,".238",".357",".297","0.654",".289"
"Maile, Luke","571912","2024","102","2",33.3,8.5,".176",".265",".274","0.539",".249"
"Springer III, George","543807","2024","364","13",18,10.4,".228",".382",".311","0.693",".306"
"Noda, Ryan","676116","2024","86","1",32,12,".128",".198",".242","0.440",".212"
"Wisdom, Patrick","621550","2024","103","6",32.8,6.9,".204",".437",".278","0.715",".308"
"Horwitz, Spencer","687462","2024","144","4",16,11.2,".285",".431",".379","0.810",".353"
"Toro, Abraham","647351","2024","299","6",17.5,4.4,".254",".371",".299","0.670",".293"
"Siani, Michael","672279","2024","219","2",26.1,4.1,".247",".320",".284","0.604",".267"
"Bethancourt, Christian","542194","2024","86","2",23.9,3.3,".174",".291",".211","0.502",".221"
"Vierling, Matt","663837","2024","352","13",22.5,5.3,".256",".446",".297","0.743",".319"
"Correa, Carlos","621043","2024","279","13",16.7,9.5,".308",".520",".377","0.897",".382"
"Jiménez, Eloy","650391","2024","229","5",18.9,7.2,".240",".345",".297","0.642",".283"
"Rodríguez, Julio","677594","2024","384","11",27.1,5.8,".263",".372",".315","0.687",".304"
"Ortiz, Joey","687401","2024","262","7",17.6,12.7,".248",".405",".346","0.751",".331"
"Tatis Jr., Fernando","665487","2024","308","14",20.6,8.7,".279",".468",".354","0.822",".357"
"Chourio, Jackson","694192","2024","309","12",21.3,6.3,".262",".424",".307","0.731",".316"
"Walker, Christian","572233","2024","401","23",24.7,10.4,".254",".476",".338","0.814",".348"
"Kirilloff, Alex","666135","2024","159","5",26.4,8.4,".201",".384",".270","0.654",".283"
"Renfroe, Hunter","592669","2024","265","11",17.2,9.8,".234",".415",".314","0.729",".320"
"Lipscomb III, Trey","702358","2024","175","1",18.7,7.3,".217",".251",".281","0.532",".245"
"Grichuk, Randal","545341","2024","162","3",16.7,7.2,".272",".420",".333","0.753",".328"
"Verdugo, Alex","657077","2024","395","10",15.5,7.8,".238",".377",".295","0.672",".293"
"Andujar, Miguel","609280","2024","220","4",13.9,3.5,".286",".395",".313","0.708",".309"
"Turang, Brice","668930","2024","373","6",17.4,8.2,".265",".367",".327","0.694",".307"
"Riley, Austin","663586","2024","347","14",25.7,8.6,".251",".447",".319","0.766",".332"
"Bleday, JJ","668709","2024","380","12",18.8,10.3,".234",".429",".315","0.744",".322"
"Taylor, Tyrone","621438","2024","213","6",22.7,4.8,".239",".408",".285","0.693",".300"
"Stott, Bryson","681082","2024","329","7",16.1,10.6,".243",".356",".325","0.681",".301"
"Alvarez, Francisco","682626","2024","169","5",23.9,9,".266",".438",".335","0.773",".336"
"Turner, Justin","457759","2024","300","6",17.2,11.2,".257",".373",".351","0.724",".324"
"Tucker, Kyle","663656","2024","214","19",15.6,17.6,".266",".584",".395","0.979",".414"
"Sosa, Lenyn","672820","2024","177","4",23,3.7,".237",".350",".274","0.624",".272"
"Torres, Gleyber","650402","2024","371","10",22.3,9.7,".237",".367",".314","0.681",".301"
"Betts, Mookie","605141","2024","283","10",10.3,14.2,".304",".488",".405","0.893",".390"
"Haniger, Mitch","571745","2024","289","9",28.6,10.5,".204",".336",".289","0.625",".280"
"Adell, Jo","666176","2024","292","15",29.1,7.7,".192",".384",".265","0.649",".282"
"Steer, Spencer","668715","2024","384","15",20.9,10.3,".237",".430",".326","0.756",".330"
"Hoerner, Nico","663538","2024","380","4",10.8,7.7,".250",".342",".326","0.668",".298"
"Volpe, Anthony","683011","2024","446","9",21.1,6.2,".253",".388",".304","0.692",".303"
